"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2049","Login success with valid credential","firefox","Thu Mar 12 14:05:07 UTC 2026","passed","Thu Mar 12 14:05:09 UTC 2026","Login Feature","","",""
"","4289","Login success with valid credential","webkit","Thu Mar 12 14:05:12 UTC 2026","passed","Thu Mar 12 14:05:17 UTC 2026","Login Feature","","",""
"","534","Login failed without username and password","chromium","Thu Mar 12 14:05:05 UTC 2026","passed","Thu Mar 12 14:05:06 UTC 2026","Login Feature","","",""
"","2439","User can add 3 products and checkout successfully","firefox","Thu Mar 12 14:05:05 UTC 2026","passed","Thu Mar 12 14:05:08 UTC 2026","Checkout Feature","","",""
"","795","Login failed without username and password","webkit","Thu Mar 12 14:05:19 UTC 2026","passed","Thu Mar 12 14:05:20 UTC 2026","Login Feature","","",""
"","1372","Login failed with wrong password","webkit","Thu Mar 12 14:05:17 UTC 2026","passed","Thu Mar 12 14:05:18 UTC 2026","Login Feature","","",""
"","7079","User can add 3 products and checkout successfully","webkit","Thu Mar 12 14:05:10 UTC 2026","passed","Thu Mar 12 14:05:17 UTC 2026","Checkout Feature","","",""
"","570","Login failed with wrong password","chromium","Thu Mar 12 14:05:04 UTC 2026","passed","Thu Mar 12 14:05:05 UTC 2026","Login Feature","","",""
"","512","Login failed without username and password","firefox","Thu Mar 12 14:05:11 UTC 2026","passed","Thu Mar 12 14:05:11 UTC 2026","Login Feature","","",""
"","1277","User can add 3 products and checkout successfully","chromium","Thu Mar 12 14:05:03 UTC 2026","passed","Thu Mar 12 14:05:04 UTC 2026","Checkout Feature","","",""
"","952","Login success with valid credential","chromium","Thu Mar 12 14:05:03 UTC 2026","passed","Thu Mar 12 14:05:04 UTC 2026","Login Feature","","",""
"","758","Login failed with wrong password","firefox","Thu Mar 12 14:05:09 UTC 2026","passed","Thu Mar 12 14:05:10 UTC 2026","Login Feature","","",""
"","572","Login failed with wrong username","chromium","Thu Mar 12 14:05:05 UTC 2026","passed","Thu Mar 12 14:05:05 UTC 2026","Login Feature","","",""
"","832","Login failed with wrong username","webkit","Thu Mar 12 14:05:18 UTC 2026","passed","Thu Mar 12 14:05:19 UTC 2026","Login Feature","","",""
"","573","Login failed with wrong username","firefox","Thu Mar 12 14:05:10 UTC 2026","passed","Thu Mar 12 14:05:11 UTC 2026","Login Feature","","",""
