"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2956","User can add 3 products and checkout successfully","firefox","Thu Mar 12 12:22:22 UTC 2026","passed","Thu Mar 12 12:22:25 UTC 2026","Checkout Feature","","",""
"","804","Login failed with wrong password","chromium","Thu Mar 12 12:22:21 UTC 2026","passed","Thu Mar 12 12:22:22 UTC 2026","Login Feature","","",""
"","2105","Login success with valid credential","firefox","Thu Mar 12 12:22:25 UTC 2026","passed","Thu Mar 12 12:22:27 UTC 2026","Login Feature","","",""
"","825","Login failed with wrong username","firefox","Thu Mar 12 12:22:29 UTC 2026","passed","Thu Mar 12 12:22:29 UTC 2026","Login Feature","","",""
"","731","Login failed without username and password","chromium","Thu Mar 12 12:22:23 UTC 2026","passed","Thu Mar 12 12:22:24 UTC 2026","Login Feature","","",""
"","4","Login success with valid credential","webkit","Thu Mar 12 12:22:29 UTC 2026","failed","Thu Mar 12 12:22:29 UTC 2026","Login Feature","","",""
"","1097","Login success with valid credential","chromium","Thu Mar 12 12:22:20 UTC 2026","passed","Thu Mar 12 12:22:21 UTC 2026","Login Feature","","",""
"","1442","User can add 3 products and checkout successfully","chromium","Thu Mar 12 12:22:20 UTC 2026","passed","Thu Mar 12 12:22:21 UTC 2026","Checkout Feature","","",""
"","6","User can add 3 products and checkout successfully","webkit","Thu Mar 12 12:22:28 UTC 2026","failed","Thu Mar 12 12:22:28 UTC 2026","Checkout Feature","","",""
"","4","Login failed with wrong password","webkit","Thu Mar 12 12:22:29 UTC 2026","failed","Thu Mar 12 12:22:29 UTC 2026","Login Feature","","",""
"","781","Login failed with wrong password","firefox","Thu Mar 12 12:22:28 UTC 2026","passed","Thu Mar 12 12:22:29 UTC 2026","Login Feature","","",""
"","1316","Login failed with wrong username","chromium","Thu Mar 12 12:22:22 UTC 2026","passed","Thu Mar 12 12:22:23 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Thu Mar 12 12:22:31 UTC 2026","failed","Thu Mar 12 12:22:31 UTC 2026","Login Feature","","",""
"","4","Login failed with wrong username","webkit","Thu Mar 12 12:22:30 UTC 2026","failed","Thu Mar 12 12:22:30 UTC 2026","Login Feature","","",""
"","772","Login failed without username and password","firefox","Thu Mar 12 12:22:29 UTC 2026","passed","Thu Mar 12 12:22:30 UTC 2026","Login Feature","","",""
